;Year;IsWinner;track_id
166;1984;Nominee;0o4e5Tt4vorx2012FrGIjV
167;1984;Nominee;4y1LsJpmMti1PfRQV9AWWe
168;1984;Nominee;7FwBtcecmlpc1sLySPXeGE
169;1984;Nominee;63CHa6rmamv9OsehkRD8oz
170;1985;Winner;3Z2tPWiNiIpg8UMMoowHIk
171;1985;Nominee;4gvea7UlDkAvsJBPZAd4oB
172;1985;Nominee;4yqtwO7MQIIXqoiRBPHAgR
173;1985;Winner;3Z2tPWiNiIpg8UMMoowHIk
174;1985;Nominee;1JLn8RhQzHz3qDqsChcmBl
175;1985;Nominee;0IpfTMKENGLJcULkMnU8Rb
176;1986;Nominee;4AUS8KNz7zX8XFu9L38GT0
177;1986;Winner;4ZExvJvQXPEeYzGU0N3THi
178;1986;Nominee;6yJxCltgtmGxIgKOS6ndnu
179;1986;Nominee;5izGeTxueiFX1UPFGohY9w
180;1986;Winner;1cOj24fUMnBSXhtp7waHVW
181;1986;Nominee;4ZExvJvQXPEeYzGU0N3THi
182;1987;Nominee;5yMXAaSvxo12QkYU75Ixv0
183;1987;Nominee;0uMMLry3hzWGn3q3loqMkm
184;1987;Nominee;6wpGqhRvJGNNXwWlPmkMyO
185;1987;Winner;51KKQAgYFoJHgVIuJWHdHb
186;1987;Winner;6Zd6gSMyyjSybIw4lK9Ecy
187;1988;Nominee;3qN37rGyfEs8qnCvRiWEhJ
188;1988;Nominee;2M9ro2krNb7nr7HSprkEgo
189;1988;Winner;4hObp5bmIJ3PP3cKA9K9GY
190;1988;Nominee;70RPjUR5l0jmBQndfNXP0z
191;1988;Nominee;58me6gfG81fNG4v3dpRhh5
192;1989;Winner;2Pxqs0WmxxHTV5QaTdmt3Q
193;1989;Nominee;7tJnjRY2js0yXtNUWE4fgF
194;1989;Nominee;4d6eqRtpDX7tydHJGDZUBQ
195;1989;Nominee;5z3ZDMP02xF33yCvPFnct3
196;1990;Nominee;0gLQ6jhJsyYfl7PrD1RZ7X
197;1990;Nominee;1B75hgRqe7A4fwee3g3Wmu
198;1990;Nominee;5GHY1DFWKz3Prg2V0Iodqo
199;1990;Winner;1NCuYqMc8hKMb4cpNTcJbD
200;1990;Nominee;5GHY1DFWKz3Prg2V0Iodqo
201;1990;Nominee;4VZDv8sASBS8UruUBGTFdk
202;1991;Winner;2MVQbDuhVs2muWFURtIdNb
203;1991;Nominee;6Ceejf3zBXvAhIY9DbP1Pr
204;1991;Nominee;31AOj9sFz2gM0O3hMARRBx
205;1991;Nominee;3IDsegNBHC4pjGCOMTQYlU
206;1991;Nominee;1Eb90nmqTrxylKFhcUzW8P
207;1991;Nominee;5fgkjhICZnqFctrV0AyuQD
208;1991;Winner;2MVQbDuhVs2muWFURtIdNb
209;1992;Winner;3UqHlIBI771FNCiLY5MKrp
210;1992;Nominee;7okbmgA8lRBGl5limZ7LFM
211;1992;Nominee;0wCrg1LhgPcGMw51qqpI6k
212;1992;Nominee;7B3UAPLYAbwXVgbHSKEaTw
213;1992;Nominee;2EoIt9vdgFRNW03u5IvFsQ
214;1992;Nominee;7B3UAPLYAbwXVgbHSKEaTw
215;1993;Winner;4eHbdreAnSOrDDsFfc4Fpm
216;1993;Nominee;2nekCvC9XRXQckWNnkIp2l
217;1993;Nominee;4tS8xQfyPGc7f4lJ1JP6BX
218;1993;Nominee;391CwgcBxvUHmEKda2b5In
219;1993;Winner;4tS8xQfyPGc7f4lJ1JP6BX
220;1994;Nominee;61sQYdFNS6sEBYCyr1q5gn
221;1994;Nominee;5ANnHcFKjGAC98A7Qkaepd
222;1994;Winner;3ZpQiJ78LKINrW9SQTgbXd
223;1994;Winner;3fbnbn6A5O5RNb08tlUEgd
224;1994;Nominee;4WUnM4KNZ0kjp0CUeoyOnS
225;1994;Nominee;3ZpQiJ78LKINrW9SQTgbXd
226;1995;Nominee;6qspW4YKycviDFjHBOaqUY
227;1995;Nominee;1xNmF1Uep5OGutizZSbKvd
228;1995;Winner;3YKptz29AsOlm7WAVnztBh
229;1995;Nominee;1DIXPcTDzTj8ZMHt3PDt8p
230;1995;Nominee;3jS7bB0oXVOwGFZn3aE5NV
231;1995;Nominee;70d8omRI2p7qesFOiy55Ro
232;1996;Nominee;5QLHGv0DfpeXLNFo7SFEy1
233;1996;Winner;5Ds0VGkTSQ1jf4KzLUpZPb
234;1996;Nominee;1g5EcKDECPxeI7kgkvcbxm
235;1997;Nominee;2ck13qfgRZ1msyEJlDqzvk
236;1997;Winner;4mOxpj82q6n3EO7HBZCelX
237;1997;Nominee;0lnxrQAd9ZxbhBBe7d8FO8
238;1997;Nominee;2KeRxlnuTrK1d5l5Mpa5De
239;1997;Nominee;7BD50ATrF3Vab5FQy7vtK8
240;1997;Nominee;6urCAbunOQI4bLhmGpX7iS
241;1998;Nominee;1wb4P4F0sxAQ2KXrRvsx6n
242;1998;Nominee;6sHsXIJoEN5JpdkGMQDJxt
243;1998;Nominee;4Fpsa3pYc3gozrxHRRPvR6
244;1998;Winner;33LC84JgLvK2KuW43MfaNq
245;1998;Nominee;6Qyc6fS4DsZjB2mRW9DsQs
246;1998;Nominee;0uRWAPh6GH3SExeT4FCdPl
