"","names","IsWinner","Year","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"120","Hardwired - Metallica",1,2016,24938241,1.15e-05,0.13,191332,0.991,0.00412,"11",0.225,-3.126,"1",185.364,"4",0.505
"121","Run - Foo Fighters",1,2017,10992790,3.31e-05,0.365,323373,0.892,0.0948,"4",0.751,-8.036,"0",136.133,"4",0.176
"122","Go To War - NOTHING MORE",1,2017,376861,0.00187,0.461,245196,0.892,1.34e-06,"6",0.0942,-4.807,"0",137.35,"4",0.35
"123","Blood In The Cut - K.Flay",1,2017,525860,0.118,0.77,188707,0.655,0.0234,"2",0.125,-5.369,"1",129.964,"4",0.639
"124","The Stage - Avenged Sevenfold",1,2017,6262809,0.000363,0.453,512025,0.945,0.323,"9",0.108,-6.925,"0",134.949,"4",0.215
"125","Atlas, Rise! - Metallica",1,2017,24938241,3.28e-05,0.419,388625,0.994,0.0192,"9",0.0784,-3.191,"0",95.571,"4",0.41
"126","MANTRA - Bring Me The Horizon",1,2018,4856358,0.00054,0.5,233129,0.817,0,"0",0.152,-3.501,"1",90.01,"4",0.599
"127","Jumpsuit - Twenty One Pilots",1,2018,23703309,0.00849,0.62,238560,0.61,0.162,"11",0.205,-8.329,"0",127.052,"4",0.235
"128","Black Smoke Rising - Greta Van Fleet",1,2018,2341237,0.197,0.558,259893,0.902,0.000148,"7",0.0852,-4.018,"1",100.027,"4",0.572
"129","Masseduction - St. Vincent",1,2018,804933,0.00232,0.696,197427,0.598,0.00115,"2",0.119,-7.917,"1",114.989,"4",0.438
"130","Rats - Ghost",1,2018,2447436,6.11e-06,0.522,261573,0.944,0.482,"2",0.135,-5.731,"0",124.029,"4",0.236
"131","This Land - Gary Clark Jr.",1,2019,868777,0.019,0.506,341667,0.921,8.09e-05,"10",0.0677,-2.967,"0",82.033,"4",0.279
"132","Harmony Hall - Vampire Weekend",1,2019,1856043,0.475,0.653,308733,0.76,0.000129,"11",0.0917,-6.086,"1",98.008,"4",0.6
"133","Fear Inoculum - TOOL",1,2019,3164317,0.000827,0.31,620101,0.584,0.512,"7",0.0528,-10.091,"1",86.913,"4",0.16
"134","Give Yourself A Try - The 1975",1,2019,6713807,3.17e-05,0.334,196589,0.786,0,"11",0.517,-5.002,"1",182.933,"4",0.901
"135","History Repeats - Jungle Remix - Brittany Howard",1,2019,200535,0.0173,0.672,232935,0.825,0.292,"11",0.213,-5.895,"1",98.009,"4",0.739
"136","History Repeats - Jungle Remix - Jungle",1,2019,886702,0.0173,0.672,232935,0.825,0.292,"11",0.213,-5.895,"1",98.009,"4",0.739
"137","Shameika - Fiona Apple",1,2020,1197111,0.154,0.375,248603,0.776,8.16e-05,"8",0.0925,-6.767,"1",186.814,"4",0.647
"138","Kyoto - Phoebe Bridgers",1,2020,1775452,0.0467,0.6,184524,0.749,0.295,"11",0.0915,-6.889,"1",131.024,"4",0.485
"139","Lost In Yesterday - Tame Impala",1,2020,6574223,0.0295,0.569,249587,0.84,0.000118,"1",0.0995,-4.123,"1",183.059,"3",0.749
"140","Stay High - Brittany Howard",1,2020,200535,0.132,0.598,191396,0.853,0.00297,"9",0.132,-5.373,"1",121.988,"1",0.312
"141","Not - Big Thief",1,2020,565534,0.0995,0.423,367093,0.789,0.0028,"11",0.16,-6.57,"1",140.417,"4",0.544
"142","Distance - Mammoth WVH",1,2021,87041,0.000555,0.399,254040,0.96,0.552,"2",0.327,-5.129,"1",176.928,"4",0.413
"143","All My Favorite Songs (feat. AJR) - Weezer",1,2021,3108370,0.00998,0.605,170720,0.7,0,"4",0.116,-6.47,"1",84.962,"4",0.588
"144","All My Favorite Songs (feat. AJR) - AJR",1,2021,2923531,0.00998,0.605,170720,0.7,0,"4",0.116,-6.47,"1",84.962,"4",0.588
"145","Find My Way (feat. Beck) - Beck",1,2021,1437831,0.256,0.873,293849,0.809,0.00049,"5",0.142,-4.788,"0",118.01,"4",0.92
"146","Find My Way (feat. Beck) - Paul McCartney",1,2021,4416749,0.256,0.873,293849,0.809,0.00049,"5",0.142,-4.788,"0",118.01,"4",0.92
"147","Waiting On A War - Foo Fighters",1,2021,10992790,0.00984,0.53,253840,0.759,0,"7",0.319,-7.067,"1",131.999,"4",0.502
"148","The Bandit - Kings of Leon",1,2021,5220652,0.00907,0.39,250973,0.823,0.772,"0",0.105,-5.172,"1",145.049,"4",0.385
"149","BLACKOUT - Turnstile",1,2022,416334,0.000881,0.301,173280,0.807,0.112,"6",0.0849,-6.258,"1",84.051,"4",0.595
"150","Broken Horses - Brandi Carlile",1,2022,739540,0.00695,0.444,303593,0.729,1.8e-06,"2",0.0703,-5.442,"0",95.258,"4",0.388
"151","Black Summer - Red Hot Chili Peppers",1,2022,19718671,0.0267,0.417,232412,0.682,0.000669,"1",0.109,-5.071,"1",105.542,"4",0.351
"152","Patient Number 9 (feat. Jeff Beck) - Jeff Beck",1,2022,689288,0.000195,0.318,441402,0.87,0.192,"5",0.133,-4.246,"1",169.906,"4",0.297
"153","Patient Number 9 (feat. Jeff Beck) - Ozzy Osbourne",1,2022,4802169,0.000195,0.318,441402,0.87,0.192,"5",0.133,-4.246,"1",169.906,"4",0.297
"154","Harmonia's Dream - The War On Drugs",1,2022,883576,0.00278,0.52,386347,0.872,0.237,"2",0.0564,-5.073,"1",140.029,"4",0.486
"155","Mr. Brightside - The Killers",0,2004,6998448,0.00121,0.352,222973,0.911,0,"1",0.0995,-5.23,"1",148.033,"4",0.236
"156","E-Pro - Beck",0,2005,1437831,0.00133,0.624,202360,0.959,0.171,"11",0.101,-6.253,"0",95.794,"4",0.69
"157","Promises Broken - Soul Asylum",0,1995,570643,0.138,0.472,194587,0.475,3.04e-06,"4",0.113,-11.115,"1",150.611,"4",0.718
"158","Wild Child - The Black Keys",0,2022,3867868,0.017,0.68,164867,0.639,5.09e-06,"5",0.0398,-6.233,"0",106.991,"4",0.957
"159","Pneuma - TOOL",0,2019,3164317,0.00209,0.415,713192,0.53,0.75,"9",0.11,-9.338,"0",114.174,"1",0.0586
"160","No Surprise - Daughtry",0,2009,2026864,0.00853,0.481,269693,0.779,0,"3",0.0993,-3.81,"1",96.029,"4",0.142
"161","Cold Blooded - Gary Clark Jr.",0,2015,868777,0.0667,0.653,223093,0.566,0.0218,"4",0.125,-8.547,"0",90.683,"4",0.429
"162","When The Stars Go Blue - Ryan Adams",0,2001,560455,0.466,0.59,211667,0.208,2.81e-05,"10",0.115,-13.25,"1",90.084,"4",0.293
"163","Robbers - The 1975",0,2013,6713807,0.000332,0.621,254510,0.702,1.49e-05,"4",0.322,-6.845,"1",99.808,"4",0.374
"164","I'm Shakin' - Jack White",0,2012,1309574,0.0142,0.586,180173,0.781,0.00105,"11",0.0673,-10.052,"0",80.753,"4",0.755
"165","#1 Crush - Nellee Hooper Mix - Garbage",0,1995,1101372,0.000105,0.643,290507,0.63,0.0179,"5",0.331,-7.163,"1",94.199,"4",0.488
"166","Monsters - Dave Matthews Band",0,2023,1879861,0.331,0.591,213907,0.626,0.00149,"4",0.118,-8.247,"1",134.031,"4",0.65
"167","Far Away - Nickelback",0,2005,6339797,0.000681,0.518,238173,0.797,0,"6",0.107,-5.153,"1",132.918,"4",0.293
"168","Hellraiser - 30th Anniversary Edition - Ozzy Osbourne",0,2021,4802169,0.00329,0.622,295240,0.905,2.93e-05,"4",0.115,-5.12,"1",96.049,"4",0.441
"169","Title and Registration - Death Cab for Cutie",0,2003,1472671,0.35,0.751,219267,0.546,0.0764,"9",0.109,-10.374,"1",115.808,"4",0.721
"170","Cosmic Love - Florence + The Machine",0,2009,6399322,0.145,0.524,255133,0.803,0.000191,"9",0.115,-5.56,"0",140.003,"4",0.0827
"171","Highwomen - Brandi Carlile",0,2019,739540,0.77,0.554,212480,0.47,2.6e-06,"8",0.106,-6.604,"0",95.598,"4",0.346
"172","The Story - Brandi Carlile",0,2007,739540,0.0325,0.544,238493,0.5,3.78e-06,"11",0.109,-8.253,"1",93.621,"4",0.177
"173","A Sky Full of Stars - Coldplay",0,2014,44692754,0.00617,0.545,267867,0.675,0.00197,"6",0.209,-6.474,"1",124.97,"4",0.162
"174","Shark Smile - Big Thief",0,2017,565534,0.132,0.618,238893,0.754,0.495,"6",0.116,-8.152,"0",131.045,"4",0.553
"175","Dashboard - Modest Mouse",0,2007,1382899,0.00963,0.639,246173,0.903,7.06e-05,"11",0.174,-5.013,"0",135.938,"4",0.96
"176","Your Wife is Calling - Pat Smear",0,2013,2597,7.87e-05,0.517,200093,0.957,0.0669,"9",0.182,-3.895,"1",105.994,"4",0.864
"177","Carried Me With You - Brandi Carlile",0,2020,739540,0.271,0.639,213733,0.666,0,"0",0.111,-7.775,"1",98.384,"4",0.372
"178","Paper Bag - Fiona Apple",0,1999,1197111,0.716,0.709,219267,0.446,2.39e-05,"0",0.11,-9.904,"1",140.993,"3",0.843
"179","Undisclosed Desires - Muse",0,2009,7517585,0.00819,0.683,235000,0.585,0.0162,"8",0.0797,-6.76,"1",115.997,"4",0.641
"180","We Love You - Avenged Sevenfold",0,2023,6262809,0.000441,0.309,375027,0.813,0.187,"9",0.0625,-9.647,"0",140.034,"4",0.108
"181","Drive By - Train",0,2012,4293620,0.00107,0.765,195973,0.837,1.06e-05,"1",0.0801,-3.113,"0",122.028,"4",0.721
"182","Candle Flame - Jungle",0,2023,886702,0.143,0.673,174021,0.72,1.82e-05,"9",0.913,-7.318,"0",123.032,"4",0.588
