"","IsWinner","track_id","artist_id","track_name","year","artist_name","genres","followers","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","tempo","time_signature","valence"
"54","Nominee","3l2pObHGPzGmgRWDlAbUJN","4jZOiPysIzYxbDcDEOZmhu","The ""In"" Crowd - Live At The Bohemian Caverns, Washington, D.C., 1965",1965,"Ramsey Lewis Trio","soul jazz",30601,0.49,0.652,351427,0.515,0.14,7,0.962,-19.55,1,143.004,4,0.645
"55","Nominee","3XG7bMVcMWLIn2k9jLAaAt","1RP2UpEaRzkF0Id3JigqD8","King Of The Road",1965,"Roger Miller","classic country pop",247807,0.717,0.67,147307,0.272,0,11,0.178,-13.699,1,117.996,4,0.613
"56","Winner","2XmLd81D7jT8Ell9lmvApe","09L3cUdx0hq6qn5bKuJJ4I","A Taste Of Honey",1965,"Herb Alpert & The Tijuana Brass","easy listening",152487,0.771,0.552,163747,0.423,0.881,5,0.111,-11.109,0,80.871,4,0.495
"57","Nominee","1sOVXr1KuMtg3ZqXkpTHLl","5nkbXa2O3EyO99lyXoWOtx","I Will Wait for You - From the Umbrellas of Cherbourg",2019,"Michel Legrand And His Orchestra","",1176,0.92,0.215,224031,0.255,0.756,2,0.0994,-17.082,0,97.843,3,0.216
"58","Nominee","3Q51jQuzjEDMTyFX4pT2dK","4UD9XOagGdElo7BpVzLltZ","Winchester Cathedral",2010,"New Vaudeville Band","british invasion",1732,0.614,0.847,136838,0.371,3.55e-06,7,0.0502,-13.909,1,122.638,4,0.914
"59","Nominee","1AzrEisAhzYF1AQfzLhgkO","09L3cUdx0hq6qn5bKuJJ4I","What Now My Love",1966,"Herb Alpert & The Tijuana Brass","easy listening",152487,0.531,0.636,136053,0.349,0.753,8,0.331,-13.228,1,101.073,4,0.497
"60","Winner","74VR3AkGPhbYXnxcOYa16x","1Mxqyy3pSjf8kZZL4QVxS0","Strangers In The Night",1966,"Frank Sinatra","adult standards",6304287,0.592,0.259,157867,0.473,0,5,0.201,-8.275,1,90.348,4,0.539
"61","Nominee","3EFb1qDgIqf9MegIryKtDj","1bs7HoMkSyQwcobCpE9KpN","Monday, Monday - Single Version",1966,"The Mamas & The Papas","classic rock",1545332,0.742,0.488,208293,0.464,0,1,0.57,-9.496,1,109.853,4,0.709
"62","Nominee","2Krnm3qWdy4VG5vTkT0cDn","7tIs7rxqGuBvWMhIIigunf","Almost Persuaded",1966,"David Houston","nashville sound",17650,0.861,0.251,176360,0.338,0,8,0.144,-11.897,1,81.642,3,0.353
"63","Nominee","217RsQ8R5s4KgtGA7Sbgor","0tsw0QypRQd2fi0M50cE5v","The Impossible Dream (The Quest) - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Joseph Darion","",17,0.944,0.341,142800,0.397,0.00076,10,0.108,-11.389,1,85.186,3,0.382
"64","Nominee","217RsQ8R5s4KgtGA7Sbgor","462ZvTUWG8Kopcw9j4s4Kk","The Impossible Dream (The Quest) - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Mitch Leigh","broadway",272,0.944,0.341,142800,0.397,0.00076,10,0.108,-11.389,1,85.186,3,0.382
"65","Nominee","217RsQ8R5s4KgtGA7Sbgor","29l80PEg44YRkDbCK0U5OB","The Impossible Dream (The Quest) - Man Of La Mancha/1965 Original Broadway Cast/Remastered 2000",2001,"Richard Kiley","vintage broadway",1681,0.944,0.341,142800,0.397,0.00076,10,0.108,-11.389,1,85.186,3,0.382
"66","Nominee","1IYn7ytdb8byvHKS7S3Cat","6WtWmLPWn1imbcisSfmBvy","Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"")",1966,"The Ray Conniff Singers","easy listening",48397,0.867,0.477,148627,0.259,0,7,0.238,-16.096,1,88.59,3,0.374
"67","Winner","5By7Pzgl6TMuVJG168VWzS","3WrFJ7ztbogyGnTHbHJFl2","Michelle - Remastered 2009",1965,"The Beatles","beatlesque",25377946,0.652,0.578,162373,0.29,0,5,0.105,-12.501,0,117.403,4,0.666
"68","Nominee","2vDLWF0RVb7h8OlF2i8F94","55CCS64lPz88twUDVquU1u","Born Free",1966,"Roger Williams","easy listening",38050,0.752,0.602,141500,0.662,2.59e-06,7,0.12,-7.952,0,118.776,4,0.525
